Brand,RAM,Rear Camera,Front Camera,Battery,Display Size,Resolution,Screen To Body Ratoio,ROM,Sim Slot,Wifi,Blutooth,FingerPrint Sensor,Price,Processor
Samsung,12 GB,12 MP + 12 MP + 12 MP,10 MP + 4 MP,4400 mAh,7.6 inches (19.3 cm),1768 x 2208 pixels,89.7 %,"512 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 6 (802.11 a/b/g/n/ac/ax) 5GHz, MIMO",Bluetooth,Yes,"Rs. 166,400.00","Octa core (2.84 GHz, Single Core + 2.42 GHz, Tri core + 1.8 GHz, Quad core)"
Samsung,12 GB,12 MP + 12 MP + 12 MP,10 MP + 4 MP,4400 mAh,7.6 inches (19.3 cm),1768 x 2208 pixels,89.7 %,"256 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 6 (802.11 a/b/g/n/ac/ax) 5GHz, MIMO",Bluetooth,Yes,"Rs. 89,900.00","Octa core (2.84 GHz, Single Core + 2.42 GHz, Tri core + 1.8 GHz, Quad core)"
Lava,2 GB,13 MP + 2 MP,8 MP,6000 mAh,7.0 inches (17.78 cm),720 x 1640 pixels,84.87 %,"32 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Excellent            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 4 (802.11 b/g/n)",Bluetooth,No,"Rs. 7,799.00","Quad Core, 1.8 GHz"
Tecno,3 GB,13 MP + 2 MP + 2 MP,8 MP,6000 mAh,7.0 inches (17.78 cm),720 x 1640 pixels,83.71 %,"32 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Excellent            
                ▾","Dual SIM, GSM+GSM","Head: 0.919 W/kg, Body: 0.714 W/kg",Wi-Fi Features,Yes,"Rs. 9,999.00","Quad Core, 2 GHz"
Tecno,2 GB,13 MP + 2 MP,8 MP,6000 mAh,7.0 inches (17.78 cm),720 x 1640 pixels,84.17 %,"32 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Excellent            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 4 (802.11 b/g/n)",Bluetooth,Yes,"Rs. 7,790.00","Quad Core, 1.8 GHz"
Tecno,4 GB,16 MP + 5 MP + 2 MP,16 MP,6000 mAh,7.0 inches (17.78 cm),720 x 1640 pixels,Yes with waterdrop notch,"64 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Head: 0.849 W/kg, Body: 0.795 W/kg",Wi-Fi Features,Yes,"Rs. 11,999.00","Octa Core, 2 GHz"
Infinix,6 GB,50 MP + 2 MP + 2 MP,16 MP,5000 mAh,6.95 inches (17.65 cm),1080 x 2460 pixels,85.06 %,"64 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 5 (802.11 a/b/g/n/ac) 5GHz",Wi-Fi Calling,Yes,"Rs. 16,499.00","Octa core (2.05 GHz, Dual Core + 2 GHz, Hexa Core)"
Infinix,8 GB,50 MP + 2 MP + 2 MP,16 MP,5000 mAh,6.95 inches (17.65 cm),1080 x 2460 pixels,85.06 %,"128 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 5 (802.11 a/b/g/n/ac) 5GHz",Wi-Fi Calling,Yes,"Rs. 15,999.00","Octa core (2.05 GHz, Dual Core + 2 GHz, Hexa Core)"
Infinix,4 GB,50 MP + 2 MP,8 MP,6000 mAh,6.82 inches (17.32 cm),720 x 1640 pixels,83.23 %,"64 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 5 (802.11 a/b/g/n/ac)",Wi-Fi Calling,Yes,"Rs. 8,499.00","Octa core (2.3 GHz, Quad Core + 1.8 GHz, Quad core)"
I Kall,"August 22, 2022 (Official)",4 GB,4 GB,4 GB,Android v10 (Q),4 GB,4 GB,"Dual SIM, GSM+GSM",Yes,4 GB,RAM,4 GB,"Rs. 6,999.00","Quad Core, 1.3 GHz"
I Kall,"August 9, 2022 (Official)",4 GB,4 GB,4 GB,Android v10 (Q),"20 MP, Primary Camera",5160 x 3872 Pixels,Yes,Yes,4 GB,RAM,4 GB,"Rs. 6,799.00","Quad Core, 1.3 GHz"
I Kall,"August 5, 2022 (Official)",4 GB,4 GB,4 GB,Android v10 (Q),"13 MP, Primary Camera",4128 x 3096 Pixels,Yes,Yes,4 GB,RAM,4 GB,"Rs. 6,999.00","Quad Core, 1.3 GHz"
Infinix,3 GB,8 MP + 0.3 MP,5 MP,5000 mAh,6.82 inches (17.32 cm),720 x 1600 pixels,83.73 %,"64 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 4 (802.11 a/b/g/n)",Wi-Fi Calling,Yes,"Rs. 8,299.00","Quad core (2 GHz, Quad Core + 1.5 GHz, Quad core)"
I Kall,"July 4, 2022 (Official)",4 GB,4 GB,4 GB,Android v10 (Q),"20 MP, Primary Camera",Digital Zoom,Yes,Yes,4 GB,RAM,4 GB,"Rs. 6,999.00","Octa Core, 1.3 GHz"
Infinix,4 GB,13 MP + 0.08 MP,8 MP,6000 mAh,6.82 inches (17.32 cm),720 x 1640 pixels,82.94 %,"64 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 4 (802.11 a/b/g/n)",Bluetooth,Yes,"Rs. 8,999.00","Octa core (1.82 GHz, Dual Core + 1.8 GHz, Hexa Core)"
Nokia,4 GB,13 MP + 2 MP,5 MP,6000 mAh,6.82 inches (17.32 cm),720 x 1640 pixels,78.7 %,"64 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 4 (802.11 b/g/n)",Bluetooth,Yes,"Rs. 9,918.00","Octa Core, 1.6 GHz"
Nokia,3 GB,13 MP + 2 MP,5 MP,6000 mAh,6.82 inches (17.32 cm),720 x 1640 pixels,78.7 %,"32 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Excellent            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 4 (802.11 b/g/n)",Bluetooth,Yes,"Rs. 8,090.00","Octa Core, 1.6 GHz"
Infinix,3 GB,13 MP + 0.08 MP,8 MP,6000 mAh,6.82 inches (17.32 cm),720 x 1640 pixels,82.66 %,"32 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Excellent            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 5 (802.11 a/b/g/n/ac)",Wi-Fi Calling,Yes,"Rs. 8,709.00","Octa Core, 2.3 GHz"
Infinix,6 GB,48 MP + 2 MP,8 MP,6000 mAh,6.82 inches (17.32 cm),720 x 1640 pixels,84.01 %,"64 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Head: 0.542 W/kg, Body: 0.462 W/kg",Wi-Fi Features,Yes,"Rs. 9,990.00","Octa core (2 GHz, Dual Core + 1.8 GHz, Hexa Core)"
Infinix,4 GB,13 MP + 0.08 MP,8 MP,6000 mAh,6.82 inches (17.32 cm),720 x 1640 pixels,82.66 %,"64 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 5 (802.11 a/b/g/n/ac)",Wi-Fi Calling,Yes,"Rs. 9,499.00","Octa Core, 2.3 GHz"
Infinix,2 GB,13 MP + 0.08 MP,8 MP,6000 mAh,6.82 inches (17.32 cm),720 x 1640 pixels,82.66 %,"32 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Excellent            
                ▾","Dual SIM, GSM+GSM","Head: 0.246 W/kg, Body: 0.562 W/kg",Wi-Fi Features,Yes,"Rs. 7,499.00","Octa Core, 2 GHz"
Ulefone,"August 20, 2021 (Official)",8 GB,8 GB,8 GB,Android v11,20.8 mm,Dust proof,"Dual SIM, GSM+GSM","Yes, Wireless FM",8 GB,RAM,8 GB,"Rs. 44,500.00","Octa core (2.005 GHz, Dual Core + 2 GHz, Hexa Core)"
I Kall,6 GB,13 MP + 5 MP + 2 MP,8 MP,6000 mAh,6.8 inches (17.27 cm),720 x 1640 pixels,"Yes, Capacitive Touchscreen, Multi-touch","128 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 4 (802.11 b/g/n)",Bluetooth,Yes,"Rs. 9,990.00","Octa core (1.6 GHz, Dual Core + 1.6 GHz, Hexa Core)"
OPPO,8 GB,50 MP + 8 MP,32 MP,4300 mAh,6.8 inches (17.27 cm),1080 x 2520 pixels,86.62 %,"256 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Head: 1.188 W/kg, Body: 0.848 W/kg",Wi-Fi Features,Yes,"Rs. 89,999.00","Octa core (3.2 GHz, Single Core + 3 GHz, Tri core + 1.8 GHz, Quad core)"
Samsung,12 GB,200 MP + 12 MP + 10 MP + 10 MP,12 MP,5000 mAh,6.8 inches (17.27 cm),1440 x 3088 pixels,89.99 %,"1 TB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Head: 1.12 W/kg, Body: 0.92 W/kg",Wi-Fi Features,Yes,"Rs. 154,998.00","Octa core (3.36 GHz, Single Core + 2.8 GHz, Quad core + 2 GHz, Tri core)"
Samsung,12 GB,200 MP + 12 MP + 10 MP + 10 MP,12 MP,5000 mAh,6.8 inches (17.27 cm),1440 x 3088 pixels,89.99 %,"256 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Head: 1.12 W/kg, Body: 0.92 W/kg",Wi-Fi Features,Yes,"Rs. 124,999.00","Octa core (3.36 GHz, Single Core + 2.8 GHz, Quad core + 2 GHz, Tri core)"
Samsung,12 GB,200 MP + 12 MP + 10 MP + 10 MP,12 MP,5000 mAh,6.8 inches (17.27 cm),1440 x 3088 pixels,89.99 %,"512 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Head: 1.12 W/kg, Body: 0.92 W/kg",Wi-Fi Features,Yes,"Rs. 134,999.00","Octa core (3.36 GHz, Single Core + 2.8 GHz, Quad core + 2 GHz, Tri core)"
Tecno,12 GB,50 MP + 50 MP + 13 MP,32 MP,5160 mAh,6.8 inches (17.27 cm),1080 x 2400 pixels,93.29 %,"256 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Head: 0.938 W/kg, Body: 1.022 W/kg",Wi-Fi Features,Yes,"Rs. 44,999.00","Octa core (3.05 GHz, Single Core + 2.85 GHz, Tri core + 1.8 GHz, Quad core)"
Tecno,12 GB,50 MP + 13 MP + 50 MP,16 MP + 32 MP,5000 mAh,7.85 inches (19.94 cm),2000 x 2296 pixels,Yes with punch-hole display,"256 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 6 (802.11 a/b/g/n/ac/ax) 5GHz",Bluetooth,Yes,"Rs. 88,888.00","Octa core (3.2 GHz, Single Core + 2.85 GHz, Tri core + 1.8 GHz, Quad core)"
Samsung,12 GB,50 MP + 12 MP + 10 MP,10 MP + 4 MP,4400 mAh,7.6 inches (19.3 cm),1812 x 2176 pixels,90.76 %,"512 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM",Head: 1.324 W/kg,Wi-Fi Features,Yes,"Rs. 164,999.00","Octa core (3.18 GHz, Single Core + 2.7 GHz, Tri core + 2 GHz, Quad core)"
Samsung,12 GB,50 MP + 12 MP + 10 MP,10 MP + 4 MP,4400 mAh,7.6 inches (19.3 cm),1812 x 2176 pixels,90.76 %,"256 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM",Head: 1.324 W/kg,Wi-Fi Features,Yes,"Rs. 118,000.00","Octa core (3.18 GHz, Single Core + 2.7 GHz, Tri core + 2 GHz, Quad core)"
Samsung,12 GB,12 MP + 12 MP + 12 MP,10 MP + 4 MP,4400 mAh,7.6 inches (19.3 cm),1768 x 2208 pixels,89.7 %,"512 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 6 (802.11 a/b/g/n/ac/ax) 5GHz, MIMO",Bluetooth,Yes,"Rs. 166,400.00","Octa core (2.84 GHz, Single Core + 2.42 GHz, Tri core + 1.8 GHz, Quad core)"
Samsung,12 GB,12 MP + 12 MP + 12 MP,10 MP + 4 MP,4400 mAh,7.6 inches (19.3 cm),1768 x 2208 pixels,89.7 %,"256 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 6 (802.11 a/b/g/n/ac/ax) 5GHz, MIMO",Bluetooth,Yes,"Rs. 89,900.00","Octa core (2.84 GHz, Single Core + 2.42 GHz, Tri core + 1.8 GHz, Quad core)"
Lava,2 GB,13 MP + 2 MP,8 MP,6000 mAh,7.0 inches (17.78 cm),720 x 1640 pixels,84.87 %,"32 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Excellent            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 4 (802.11 b/g/n)",Bluetooth,No,"Rs. 7,799.00","Quad Core, 1.8 GHz"
Tecno,3 GB,13 MP + 2 MP + 2 MP,8 MP,6000 mAh,7.0 inches (17.78 cm),720 x 1640 pixels,83.71 %,"32 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Excellent            
                ▾","Dual SIM, GSM+GSM","Head: 0.919 W/kg, Body: 0.714 W/kg",Wi-Fi Features,Yes,"Rs. 9,999.00","Quad Core, 2 GHz"
Tecno,2 GB,13 MP + 2 MP,8 MP,6000 mAh,7.0 inches (17.78 cm),720 x 1640 pixels,84.17 %,"32 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Excellent            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 4 (802.11 b/g/n)",Bluetooth,Yes,"Rs. 7,790.00","Quad Core, 1.8 GHz"
Tecno,4 GB,16 MP + 5 MP + 2 MP,16 MP,6000 mAh,7.0 inches (17.78 cm),720 x 1640 pixels,Yes with waterdrop notch,"64 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Head: 0.849 W/kg, Body: 0.795 W/kg",Wi-Fi Features,Yes,"Rs. 11,999.00","Octa Core, 2 GHz"
Infinix,6 GB,50 MP + 2 MP + 2 MP,16 MP,5000 mAh,6.95 inches (17.65 cm),1080 x 2460 pixels,85.06 %,"64 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 5 (802.11 a/b/g/n/ac) 5GHz",Wi-Fi Calling,Yes,"Rs. 16,499.00","Octa core (2.05 GHz, Dual Core + 2 GHz, Hexa Core)"
Infinix,8 GB,50 MP + 2 MP + 2 MP,16 MP,5000 mAh,6.95 inches (17.65 cm),1080 x 2460 pixels,85.06 %,"128 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 5 (802.11 a/b/g/n/ac) 5GHz",Wi-Fi Calling,Yes,"Rs. 15,999.00","Octa core (2.05 GHz, Dual Core + 2 GHz, Hexa Core)"
